theme,url,img,lines,author
SMILE,/inspirational-quotes/7042-dont-cry-because-its-over-smile-because-it,https://assets.passiton.com/quotes/quote_artwork/7042/medium/20220909_friday_quote.jpg,"Don't cry because it's over, smile because it happened.","[""Don't cry because it's over, smile because it happened."", '<Author:0x00007ff682039820>']"
SMILE,/inspirational-quotes/6258-a-smile-is-a-curve-that-sets-everything-straight,https://assets.passiton.com/quotes/quote_artwork/6258/medium/20220908_thursday_quote.jpg,A smile is a curve that sets everything straight. ,"['A smile is a curve that sets everything straight. ', '<Author:0x00007ff682023070>']"
SMILE,/inspirational-quotes/7905-just-one-smile-immensely-increases-the-beauty,https://assets.passiton.com/quotes/quote_artwork/7905/medium/20220907_wednesday_quote.jpg,"Just one smile, immensely increases the beauty, of the universe.","['Just one smile, immensely increases the beauty, of the universe.', '<Author:0x00007ff682089b90>']"
SMILE,/inspirational-quotes/8145-if-you-see-someone-without-a-smile-give-them,https://assets.passiton.com/quotes/quote_artwork/8145/medium/20220906_tuesday_quote.jpg,"If you see someone without a smile, give them one of yours.","['If you see someone without a smile, give them one of yours.', '<Author:0x00007ff6820689b8>']"
SMILE,/inspirational-quotes/7323-too-often-we-underestimate-the-power-of-a,https://assets.passiton.com/quotes/quote_artwork/7323/medium/20220905_monday_quote.jpg,"Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around.","['Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around.', '<Author:0x00007ff682052f00>']"
PEACE,/inspirational-quotes/8357-every-breath-we-take-every-step-we-make-can,https://assets.passiton.com/quotes/quote_artwork/8357/medium/20220902_friday_quote.jpg,"Every breath we take, every step we make, can be filled with peace, joy and serenity.","['Every breath we take, every step we make, can be filled with peace, joy and serenity.', '<Author:0x00007ff6820db030>']"
PEACE,/inspirational-quotes/8177-when-we-create-peace-and-harmony-and-balance-in,https://assets.passiton.com/quotes/quote_artwork/8177/medium/20220901_thursday_quote.jpg,"When we create peace and harmony and balance in our minds, we will find it in our lives. ","['When we create peace and harmony and balance in our minds, we will find it in our lives. ', '<Author:0x00007ff6820a39c8>']"
PEACE,/inspirational-quotes/7583-peace-begins-with-a-smile,https://assets.passiton.com/quotes/quote_artwork/7583/medium/20220831_wednesday_quote_alt.jpg,Peace begins with a smile.,"['Peace begins with a smile.', '<Author:0x00007ff6821280b0>']"
PEACE,/inspirational-quotes/3328-choose-love-and-peace-will-follow-choose-peace,https://assets.passiton.com/quotes/quote_artwork/3328/medium/20220830_tuesday_quote.jpg,Choose love and peace will follow. Choose peace and love will follow.,"['Choose love and peace will follow. Choose peace and love will follow.', '<Author:0x00007ff682111590>']"
PEACE,/inspirational-quotes/7429-peace-like-charity-begins-at-home,https://assets.passiton.com/quotes/quote_artwork/7429/medium/20220829_monday_quote.jpg,"Peace, like charity, begins at home.","['Peace, like charity, begins at home.', '<Author:0x00007ff682192a78>']"
